Aditya,9632587410,F02,1,All Out,49.00,49.00
Aditya,9632587410,F02,1,Doritos,25.00,25.00
Akshat,7017738020,C01,1,Dove,200.00,200.00
Akshat,7017738020,C01,3,Doritos,25.00,75.00
Akshat,7017738020,C01,1,Harpic,100.00,100.00
Saksham ,6549871233,S01,2,Rin,55.00,110.00
Saksham ,6549871233,S01,1,All Out,49.00,49.00
Saksham ,6549871233,S01,1,Dove,200.00,200.00
Tejas,6547893258,T01,1,Fortune,155.00,155.00
Tejas,6547893258,T01,3,Close Up,65.00,195.00
Ayush,6985321450,O01,2,Sprite,40.00,80.00
Ayush,6985321450,O01,2,Fortune,155.00,310.00
Ayan,7895486320,O01,1,Fortune,155.00,155.00
Akshat,7017738020,O01,1,Fortune,155.00,155.00
Akshat,7894561230,O01,33,Fortune,155.00,5115.00
Akshat,7894561230,S01,1,Dhara,143.00,143.00
Akshat,7894561230,S01,1,Dove,200.00,200.00
Ayush,7894561230,S01,2,Parle-G,5.00,10.00
Ayush,7894561230,S01,3,Dove,200.00,600.00
Saksham,7894561230,B01,2,Dove,200.00,400.00
Saksham,7894561230,B01,5,Parle-G,5.00,25.00
Akshat ,7874561233,S01,1,Lays,20.00,20.00
Akshat ,7874561233,S01,4,Dove,200.00,800.00
Saksham,1234567890,B01,2,Parle-G,5.00,10.00
saksham,1234567890,T02,1,Dabur,50.00,50.00
akshat,7894561230,T02,1,Dabur,50.00,50.00
Akshat,7894561230,F01,1,Parle-G,5.00,5.00
Akshat,7894561230,F01,10,Lays,20.00,200.00
Akshat,7894561230,T01,1,Close Up,65.00,65.00
aks,7894561230,T01,4,Close Up,65.00,260.00
saksham,1234567890,B01,1,Parle-G,5.00,5.00
